,opportunityId,title,description,agencyName,agencyAddress,placesAvailable,applicationInstructions,applicationRequirements,startDate,endDate,applicationStartDate,applicationEndDate,salaryAmountMin,salaryAmountMax,salaryCurrency
10,18484,Experimenting with Digital Waveform Generators,"Digital waveform generators are used in many transceiver systems such as radars in order to generate specific pulse characteristics such as spread-spectrum coding. This project aims to explore the implementation of digital waveform generators in hardware using FPGAs and DACs. Depending on the aptitude and internship duration, the project can include signal processing algorithms such as pre-distortion in order to overcome DAC hardware limitations in order to improve the performance of the waveforms generated. 	

The student will learn about the digital hardware architecture for a waveform generator, as well as HDL coding to implement the waveform generator on a FPGA. The stretch goal will be to study signal processing methods to improve the DAC performance using matlab.

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",2,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
11,18485,Digital Receiver Hardware for Electronically-scanned Antennas in Space Environment,"To deliver the next generation of satellite applications, spacecraft are increasingly using electronically-scanned antenna arrays, where the multiple individual antenna elements are combined digitally to improve overall performance. However this poses a challenge for the digital electronics to synchronize each individual received signals with minimum skew. The scope of this project includes:
1) To understand the hardware challenges and problems in doing digital receivers for electronically-scanned antenna arrays
2) To understand the issues of space radiation on electronics and to design mitigations against these effects. 
3) To implement the solutions on a FPGA based electronics module	

The student will learn about satellite and electronically-scanned antenna array hardware electronics, as well as HDL coding for FPGA development. The project will also provide exposure to lab test equipment to perform hardware implementation and debugging.

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",2,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
12,18492,Emitter Library Generator and Data Mining Application for Analytics and 3D Visualization,"The Singapore water is heavily populated with commerical ships and there is a need to build an Emitter Library application to track and analyse the different ships entering Singapore waters. 

This project is to design and develop a Software Application that (1) generates emitter data, (2) analyses these data and (3) visualizes them through means such as 3D visualization plots and maps.

The intern will apply knowledge of:
1) Software design and development
2) Data Analytics skillset such as data aggregation and data mining
3) Data visualization
4) Emitter signal characteristics and definition

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
13,18493,Detection of Unknown Radio Communication Signals ,"Unknown radio communications signals occur frequently especially in the high frequency spectrum and detecting such signals is important for spectrum surveillance and intelligence gathering. Currently, unknown signals are detected manually which is manpower intensive, slow and prone to missed detection. Detection of unknowns is currently an active area of research in the machine learning community. 

In this project the intern will explore various machine learning methods such as deep learning to detect unknown signals automatically and robustly. If time permits, the intern can also explore clustering of these unknown signals.

The intern will learn more about communication signal processing, considerations in choosing appropriate pre-processing techniques, training and evaluating machine learning models such as neural networks. 

The intern will also gain hands-on experience in using popular deep learning frameworks such as Tensorflow and Pytorch to develop solutions for real-world applications. 

Prerequisites: basic Python programming skills, interest in machine learning and communication signal processing.

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
14,18494,Receiver Design,"With the abundance of mobile communication devices, our environment is now filled with RF signals in multiple frequency bands. There is a need to measure and characterise these signal at different locations in real time. 

This project will develop a compact spectrum analyser to measure RF pulse parameters such as frequency, phase and amplitude at different locations. The spectrum analyser will be developed using FPGA or computer programming codes. The developed spectrum analyzer will be tested and its performance documented in a report.

Student will gain practical knowledge in Firmware and Software Development

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
15,18495,"Intern, Digital (User Features & Product Development)","Responsibilities:
1. Assist on product/business requirements documents to facilitate technology implementation and execution of new products and features.
2. Conduct market study, evaluate market sentiments and analyse user behaviour data to provide constructive inputs for crafting new product features. 
3. Assist on product beta testing to ensure that design specifications are implemented and continually tested throughout development cycles.

Requirements:
1. Has adequate knowledge of various mobile operating system (IOS, Android) and Web technologies. Knowledge of any TV platforms such as Samsung/LG Smart TV, Android TV, Apple TV, Gaming Consoles, Set-top-Box is a huge plus.
2. Proactive self-starter that is able to work independently with a strong analytical and creative mind.
3. Has excellent written, oral and diagrammatic communication skills.

",MEDIACORP PTE. LTD.,"- / 1 Stars Avenue, SINGAPORE, 138507, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,,2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,800.0,800.0,SGD
16,18496,Passive Surveillance Systems,"Aircraft and ships equipped with transponders can be tracked by intercepting broadcasted ADS-B or AIS messages. The content of these messages includes information of the platform, identity, location, and velocity etc.  The information embedded within the signals are of an open source format. 

In this project, the intern will study further into this solution, and improve on its robustness through baseband digital signal processing techniques on low-level ADS-B and AIS signals. The student will also develop a user interface to aid in the visualization and decoding of key signal parameters.

The intern will acquire knowledge of surveillance schemes and signal decoding. Thereafter, the intern will develop and implement a solution with improvement features. The student is expected to demonstrate system working in real environment.

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
17,18499,Improvement of scalable computer system testing for more robust testing coverage and efficient fault detection.,"To understand existing scalable computer system (SCCS) system level testing and propose improvements to the testing mythology, data storage, report generations and fault detection.	

The student learn the current testing and system test setup. They will then study and investigate how to improve the testability and coverage. They will be exposed to both hardware, system testing and software development work.

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
18,18500,Development and testing of an in-house miniVPX 6 slots generic variant suitable for  ruggedized applications,"To perform PCB design, assembly, electrical testing and environmental qualification of the prototype. To maximise the hardware potential to withstand ruggedised environment.

The student will work with the lead designer on prototype design implementation of the 6slot motherboard, work with mechanical on the packaging and the software test engineer on the test implementation. They will be exposed to both hardware, development and  firmware/software development work.

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",2,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
19,18501,Fault Detection in UAVs by Machine Learning,"As the usages and functionalities of Unmanned Aerial Vehicle (UAV) continue to expand, it is becoming increasingly crucial that these automated systems stay working properly when in the sky. As such, 

This project explores the usage of machine learning for system fault detection. This project gives the intern an opportunity to learn and use machine learning, as well as hands-on experience in software development.

Using machine learning tools such as TensorFlow, the intern will be tasked to develop a software application for training machine learning models and, with simulated data, explore the possibility of training a model for the purpose of system fault detection.

1. Introduction to the mechanisms of flight
2. Introduction to machine learning
3. Learning to train a ML network
4. ML network optimization

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
20,18503,Automated Software Documentation,"Regardless of environment, there will always be tasks that are well-defined, but repetitive and time-consuming. Often such tasks may be automated, freeing up time for more meaningful tasks. One such task is the documentation of one's work.

This project provides the student with hands-on experience in identifying the key design and collaboration processes during software development, and how information can be captured for automating the software documentation process.

1. Web stack development with Python/Django
2. Data processing
3. Learning the technologies for report generation

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
21,18504,Cloud based Azure devops,"Visual Studio Team Foundation Server is slowly being replaced with Azure Devops Server. And opensource Kubernetes + Docker is quickly gaining popularity with Devops users.

Implement Azure devops using Azure Container Services and VMs, and implement pipelines on the Gitlab repositories to automate the build on build VMs, and deployment onto production VMs.

Azure provides an easy means for ensuring a consistent dev environment, as well as production environment. And it is not just suitable only for cloud applications, but also for desktop and embedded applications as well.

In this project, the intern will utilize the cloud-based Azure Devops associated with a Github account. And the solution will be eventually ported to the private on-premises Azure Devops Server.

1. Introduction to cloud based devops
2. Introduction to Kubernetes and Docker containers
3. Creation of CI/CD pipelines

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
22,18505,Continuous Integration Continuous Deployment (CI/CD) DevOps,"Continuous Integration aims to alleviate integration nightmares by validating each check-in through automated build and tests, thus detecting problems earlier and facilitating practices such as AGILE development. The student is expected to evolve the current CI framework via the writing of scripts and developing unit/integration/static/dynamic tests to validate the behaviour of the software. These will be utilised in a build server that listens to the repository, which upon detecting code changes, triggers a build and tests the system.

The project takes a step further by developing quality management functionality for Continuous Deployment into actual systems. If the new changes pass the CI tests and meet the requirements, the build server is expected to release them to the users (or the rest of the project team, who may not be software developers), generate code documentation or installers.

1. Web stack development
2. Understanding the software engineering workflow
3. Development of CI/CD scripts and runners
4. Software test tools and testing methodologies

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
23,18506,High Efficiency Reliable Logging Library,"Logging of data is a useful method for software analysis, testing, debugging, etc. However, performing logging introduces overheads, which can impact the performance of the software. This is of significant importance in systems where timing or real-time functionality is critical, such as in aviation or mission-critical software.

Through this project, the student will reference open source logging libraries such as spdlog and G3log, and modify them in order to integrate the logger into the embedded systems, and benchmark it against existing loggers. The student will also be exposed to crash-safe logging, where application crashes will be captured properly and previously buffered log entries will not be lost.

1. C/C++ Programming and OOP
2. Embedded systems development
3. Understanding file synchronization, thread safety, system latency and other performance concerns

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
24,18510,Fusion of Visible and Thermal Sensors for Vehicle Detection and Tracking,"Visible and thermal sensors can be exploited in a complimentary fashion to overcome the limitations associated with using only a single modality. When both visible and thermal sensors are fused together, it may be possible to detect and track vehicular targets with greater reliability and at a longer range. In this project, the student will explore and develop algorithms to fuse both visible and thermal sensors to improve vehicle detection and tracking performance. 	

In this project, the student will explore and develop algorithms to fuse both visible and thermal sensors to improve vehicle detection and tracking performance. 

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
25,18512,Applied AI Intern PI Jan 22,"The role is suitable for students that want to explore the AI industry and learn how AI is applied for practical commercial outcomes and be exposed to how AI can be fused with Cyber Security and/or IoT.

The student will be assisting Amaris.AI’s Data Scientist in applying the latest cutting-edge AI frameworks to solve industry problems. 

Industry problems include application of AI to automate processes, cyber security applications, work-flow validation or for edge computing (IoT related applications).
Students should expect to be exposed to the application of computer vision/image AI frameworks, text-based (NLP) frameworks, graph neural networks or a combination of these frameworks to solve these industry problems.

Student job assignment will depend on the projects Amaris.AI has at the time of internship. 

Job Scope 
1. Explore and research relevant topics based on assignment. 
2. Test and improve the latest AI models/frameworks relevant to assignment.  
3. Assist in doing a comparative analysis to current models. 
4. Develop software components (backend and/or frontend) to allow the usage of the AI models/frameworks. 
5. Write technical documentation. 

Learning outcomes 
1. Learn industry's practices and delivery methodology based on the software development life cycle with Agile or Waterfall-based development. 
2. Learn Amaris.AI's development implementation of artificial intelligence model cycles. 
3. Soft Skills - Practical project development experience, internal and external communication. ",Amaris. AI Pte Ltd,"#03-08 / 108 Pasir Panjang Rd #03-08, Golden Agri Plaza, SINGAPORE, 118535, SINGAPORE",5,Please ensure that you attach a copy of your C.V. and transcript with your application.,"Python
Familiarity with Data Science concepts/process flow",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,1000.0,1000.0,SGD
26,18513,Self-supervised Learning for Visual Object Tracking,"Visual object tracking (VOT) plays a crucial role in the computer vision community that finds numerous applications such as motion analysis, action recognition, video surveillance, and autonomous driving, to name only a few. However, teaching a machine to visually track objects is challenging partly because it requires large, labeled tracking datasets for training, which are impractical to annotate at scale. Self-supervised pre-training on large unlabeled image datasets has the potential to improve performance on VOT. Self-supervised learning is a family of techniques for converting an unsupervised learning problem into a supervised one by creating surrogate labels from the unlabeled dataset.  In this project, we will explore the effectiveness of self-supervised learning on VOT.	

The student will gain proficiency in areas of computer vision, tracking, deep neural networks and self-supervised learning. 

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
27,18514,Model-based Reinforcement Learning (MBRL) with Efficient Exploration ,"Reinforcement Learning (RL) considers the problem of an agent learning to construct actions that result in an agent receiving high rewards in each environment. Recent works show benefits of Model-based Reinforcement Learning (MBRL) which allows decoupled learning of task-dependent policy and task-agnostic dynamics. However, many of these methods lack a principled mechanism to acquire data for training the model. In this project, we will explore efficient exploration strategies for a MBRL agent to effectively acquire data for training its world models from the first few interactions. 	

The student will gain proficiency in areas of reinforcement learning (RL), deep neural networks and model-based RL methods. 

Internship Allowance (CPF exempted): $2000 to $2500",DSO National Laboratories,"12 / 12 Science Park Drive, SINGAPORE, 118225, SINGAPORE",1,Please ensure that you attach a copy of your C.V. with your application.,"Prerequisites:
• Singaporeans only
• CGPA of 3.5 and above
• Not a recipient of a scholarship with a specified bond obligation

Please indicate the project that you had applied to at NTU Portal.
If you had applied to multiple projects, please indicate your preferences on the projects in the application form.
",2022-01-10T00:00:00,2022-05-28T23:59:00,2021-08-25T00:00:00,2021-08-31T23:59:00,2000.0,2000.0,SGD
